measured_at,domain,field_name,source_scope,rows_examined,null_count,empty_array_count,rows_with_supplier_roles,supplier_roles_type_distribution
2026-08-13 00:03:42.186633+00:00,directory,supplier_roles,dirind,12799,12799,0,0,{'null': 12799}
2026-08-13 00:03:42.186633+00:00,directory,supplier_roles,mexicoindustry,4149,4149,0,0,{'null': 4149}
